施設ID, カテゴリID, カテゴリ名, 施設名, よみ, 住所, 郵便番号, 電話, FAX, メールアドレス, 緯度, 経度, URL, 最終更新日, 開館時間, 休館日, 入場料, 説明, 末尾ダミー
"10888","27","整形外科","うえの整形外科","うえのせいけいげか","野々市市藤平1-383","","076-256-3566","076-256-3577","","36.5176641000","136.6065037000","","1383211787","","",""," リウ・ リハ・ 整",""
"45","28","脳神経外科","金沢脳神経外科病院","かなざわのうしんけいげかびょういん","野々市市郷町262-2","","076-246-5600","076-246-3914","","36.5265361300","136.5877551000","http://www.nouge.net/","1303114212","","","","脳・内・神内　",""
"46","28","脳神経外科","山口脳神経クリニック","やまぐちのうしんけいくりにっく","野々市市押野6-3","","076-246-8282","076-246-8222","","36.5466492500","136.6175322000","","1179296961","","","","脳神経・神経内・心療内・リハビリ　",""
"47","29","形成外科・皮膚科","こじまクリニック","こじまくりにっく","野々市市堀内4-80","","076-246-4455","076-246-4455","","36.5310406300","136.6008543000","","1179296961","","","","形・皮・整・美　",""
"48","30","皮膚科","とりい皮膚科クリニック","とりいひふかくりにっく","野々市市白山町6-9","","076-294-7880","076-294-7891","","36.5278611700","136.6124635000","http://www.toriiclinic.com/","1303114241","","","","皮",""
"50","31","産婦人科","野々市産婦人科医院","ののいちさんふじんか","野々市市本町2-18-22","","076-248-5315","076-248-8779","","36.5315909200","136.6208027000","http://www7.ocn.ne.jp/~n2clinic/","1179296961","","","","産婦　",""
"52","31","産婦人科","深江レディースクリニック","ふかえれでぃーすくりにっく","野々市市郷町260","","076-294-3336","076-294-4052","","36.5261709500","136.5890055000","http://www.fukae.or.jp/","1179296961","","","","産婦　",""
"7435","31","産婦人科","やまぎしレディスクリニック","やまぎしれでぃすくりにっく","石川県野々市市藤平田1丁目45街区6-1","","076-287-6066","076-287-6077","","36.5203262500","136.6067371000","http://www.y-ladies.com/pc/","1247187577","","","","産婦人科疾患一般の診療を基本として、高コレステロール血症・高血圧・糖尿病などの生活習慣病、骨粗しょう症その他の内科疾患や膀胱炎などの急性疾患の診療も行っています。 基本的なことから専門的なことまで、あなたの悩みや不安を解消し、バックアップします。 どうぞお気軽にご相談・ご来院ください。",""
"53","32","耳鼻咽喉科","荒木耳鼻咽喉科クリニック","あらきじびいんこうかくりにっく","野々市市稲荷2-250-1","","076-294-1133","076-294-1133","","36.5359801200","136.6016340000","","1179296961","","","","耳・気管　",""
"54","32","耳鼻咽喉科","渡辺耳鼻咽喉科医院","わたなべじびいんこうかいいん","野々市市本町4-9-12","","076-246-3331","076-246-3387","","36.5320207000","136.6108935000","","1179296961","","","","耳　",""
"55","32","耳鼻咽喉科","ほりかわクリニック","ほりかわくりにっく","野々市市御経塚2-270","","076-240-0600","076-240-2053","","36.5476187700","136.5956440000","http://www2.spacelan.ne.jp/~horikawacl/","1179296961","","","","耳・眼　",""
"56","33","眼科","わかばやし眼科クリニック（若林眼科）","わかばやしがんかくりにっく","野々市市太平寺3-160","","076-294-0707","076-294-0711","","36.5324405700","136.6058339000","http://www.waka.or.jp/","1179296961","","","","眼",""
"57","33","眼科","やまむら眼科医院","やまむらがんかいいん","野々市市新庄5-106","","076-246-0022","076-246-0218","","36.5060534500","136.6091148000","","1179296961","","","","眼　",""
"59","34","精神科","ときわ病院","ときわびょういん","野々市市中林4-123","","076-248-5221","076-248-5223","","36.5156960000","136.5987387000","http://www.tokiwahp.or.jp/","1181458446","","","","精・神・内　",""
"60","36","保育園","中央保育園","ちゅうおうほいくえん","野々市市本町3-2-22","","076-248-0240","","","36.5329308500","136.6178066000","http://kosodate.city.nonoichi.ishikawa.jp/chuou_ho/index.html","1303116473","平日7:00~19:00、土曜7:00~18:00","","","",""
"61","36","保育園","富奥保育園","とみおくほいくえん","野々市市中林5-30","","076-248-0828","","","36.5107928600","136.6046549000","http://kosodate.city.nonoichi.ishikawa.jp/tomioku_ho/index.html","1303116486","平日7:15~19:00、土曜7:15~18:00","","","",""
"62","36","保育園","押野保育園","おしのほいくえん","野々市市押野3-115","","076-248-0343","","","36.5419597600","136.6180224000","http://kosodate.city.nonoichi.ishikawa.jp/oshino_ho/index.html","1303116502","平日7:15~19:00、土曜7:15~18:00","","","一時預かり対応",""
"63","36","保育園","御経塚保育園","おきょうづかほいくえん","野々市市御経塚1-288","","076-248-0181","","","36.5439892000","136.5984239000","http://kosodate.city.nonoichi.ishikawa.jp/okyouduka_ho/index.html","1303116517","平日7:15~19:00、土曜7:15~18:00","","","",""
"64","36","保育園","あわだ保育園","あわだほいくえん","野々市市粟田5-330","","076-246-3737","","","36.5132492700","136.6100442000","","1365984358","平日7:00~19:00、土曜7:00~18:00","","","一時預かり・病後児保育対応",""
"65","36","保育園","ほりうち保育園","ほりうちほいくえん","野々市市堀内4-160","","076-248-2320","","","36.5303122400","136.6030651000","http://www3.ocn.ne.jp/~horiuch/","1303116542","平日7:15~19:00、土曜7:15~18:00","","","一時預かり対応",""
"66","36","保育園","あすなろ保育園","あすなろほいくえん","野々市市御経塚5-30","","076-246-0211","","","36.5444192100","136.6013537000","http://kosodate.city.nonoichi.ishikawa.jp/asunaro_ho/index.html","1303116554","平日7:15~19:00、土曜7:15~18:00","","","",""
"67","36","保育園","はくさん保育園","はくさんほいくえん","野々市市白山町4-2","","076-248-4337","","","36.5263055017","136.6140139103","http://www14.plala.or.jp/hakusanhoikuen/","1384828260","平日7:15~19:00、土曜7:15~18:00","","","一時預かり対応",""
"69","36","保育園","つばき保育園","つばきほいくえん","野々市市太平寺1-302","","076-248-1155","","","36.5274211200","136.6067140000","http://www.kosodate-web.com/tsubaki/main.html","1303116576","平日7:15~19:00、土曜7:15~18:00","","","一時預かり対応",""
"6884","36","保育園","エンジェル保育園","えんじぇるほいくえん","野々市市本町6-22-1","","076-248-2888","","","36.5334093060","136.6076034307","http://www.angelhoikuen.com/","1384828785","平日7:15~19:00、土曜7:15~18:00","","","一時預かり・体調不良児対応",""
"7437","36","保育園","ふじひら保育園","ふじひらほいくえん","野々市市藤平142","","076-246-1181","","","36.5139218600","136.6047442000","","1345186062","平日7:00~19:00、土曜7:00~18:00","","","一時預かり・体調不良児対応",""
"9360","36","保育園","和光第二保育園","わこうだいにほいくえん","野々市市扇が丘15-5","","076-248-6250","","","36.5279155534","136.6224145889","http://www.wakohoikuen.or.jp/","1411720182","平日7:00~19:00、土曜7:00~18:00","","","休日保育あり（在園児のみ）&lt;br /&gt;平成27年度より認定こども園へ移行予定",""
"9361","36","保育園","アリス保育園","ありすほいくえん","野々市市二日市町65街区2番","","076-294-2525","","","36.5372066400","136.5940636000","http://www.alice-japan.net/alicehoiku/","1345186076","平日7:00~19:00、土曜7:00~18:00","","","一時預かり対応。休日保育あり（在園児のみ）",""
"10880","37","児童館、放課後児童クラブ","あわだ児童クラブ","あわだじどうくらぶ","野々市市粟田5-333","","076-294-2552","","","36.5133311900","136.6099584000","","1383211059","","","","学童クラブ。学校区：富陽",""
"10881","37","児童館、放課後児童クラブ","カメリアクラブ","かめりあくらぶ","野々市市二日市町65街区1番","","076-248-2111","","","36.5376182600","136.5937471000","","1383211112","","","","つばきの郷児童館と同じ住所。学童クラブ。学校区：御園・野々市",""
"70","37","児童館、放課後児童クラブ","中央児童館","ちゅうおうじどうかん","野々市市矢作3-1-2","","076-248-5325","","","36.5235716200","136.6118438000","http://kosodate.city.nonoichi.ishikawa.jp/chuou_c/index.htm","1345192714","3月~10月は10:00~18:00　11月~2月は9:30~17:30　 ","第1.3.5日曜・第2.4月曜・祝日・年末年始","","",""
"71","37","児童館、放課後児童クラブ","本町児童館","ほんまちじどうかん","野々市市本町3-10-12","","076-246-3881","","","36.5320508100","136.6173929000","http://kosodate.city.nonoichi.ishikawa.jp/honmachi_c/index.htm","1345192703","3月~10月は10:00~18:00　11月~2月は9:30~17:30　","日曜・祝日・年末年始","","",""
"72","37","児童館、放課後児童クラブ","押野児童館","おしのじどうかん","野々市市押野3-115","","076-248-9666","","","36.5419097700","136.6180224000","http://kosodate.city.nonoichi.ishikawa.jp/oshino_c/index.htm","1345192691","3月~10月は10:00~18:00　11月~2月は9:30~17:30","日曜・祝日・年末年始","","",""
"9011","37","児童館、放課後児童クラブ","ふじひら児童館","ふじひらじどうかん","野々市市藤平146","","076-214-6125","","","36.5131932200","136.6046369000","","1345186144","9:00~18:00","毎週日曜日、祝日、お盆(8/14〜16)、年末年始(12/30〜1/3)","","ふじひらクラブと同じ住所",""
"10198","37","児童館、放課後児童クラブ","つばきの郷児童館","つばきのさとじどうかん","野々市市二日市町65街区１番","","076-248-2111","","","36.5373662000","136.5938614000","http://alice-japan.net/wp/jidoukan/","1345186351","9:00~18:00","毎週日曜日、国民の祝日、お盆休み、年末年始(12/29?1/3)","","",""
"9756","37","児童館、放課後児童クラブ","第１すがはらクラブ・第２すがはらクラブ","だいいちすがはらくらぶ・だいにすがはらくらぶ","野々市市菅原町8-33","","076-294-1919","","","36.5285511700","136.6161832000","","1345186369","","","","学童クラブ。学校区：菅原。子育て支援センター菅原内",""
"9757","37","児童館、放課後児童クラブ","こうさぎクラブ","こうさぎくらぶ","野々市市中林1-2-7","","076-248-7800","","","36.5106629000","136.6061248000","","1345186377","","","","学童クラブ。学校区：富陽",""
"9758","37","児童館、放課後児童クラブ","第１きのこクラブ・第２きのこクラブ","だいいちきのこくらぶ・だいにきのこくらぶ","野々市市本町6-8-42","","076-248-5120","","","36.5353702600","136.6059537000","","1345186383","","","","学童クラブ。学校区御園。旧JAマートののいち",""
"9759","37","児童館、放課後児童クラブ","第1つばきクラブ・第2つばきクラブ","だいいちつばきくらぶ・だいにつばきくらぶ","野々市市本町4-21-17","","076-248-8241","","","36.5307993400","136.6107711000","","1345186389","","","","学童クラブ。学校区：野々市",""
"9760","37","児童館、放課後児童クラブ","第１たちのクラブ・第２たちのクラブ","だいいちたちのくらぶ・だいにたちのくらぶ","野々市市押野1-10-1","","076-294-7011","","","36.5434395000","136.6120728000","","1345186397","","","","学童クラブ。学校区館野。旧JA押野支所 （第１）076-294-7011　（第２）076-229-7554",""
"9012","37","児童館、放課後児童クラブ","ふじひら児童クラブ","ふじひらじどうくらぶ","野々市市藤平146","","076-246-1144","","","36.5131975300","136.6046476000","","1345186403","","","","ふじひら児童館と同じ住所",""
"79","38","福祉施設","デイサービスセンター","でいさーびすせんたー","野々市市矢作3-3","","076-248-9900","076-248-9901","","36.5234516400","136.6122537000","","1303116790","9:00~16:00
・延長希望がある場合は(7:30~18:00)","日・年末年始　","","（追加、修正した場合は、赤で表示する）",""
"80","38","福祉施設","いきがいセンター矢作","いきがいせんたーやはぎ","野々市市矢作3-2-10","","076-246-2007","076-246-2004","","36.5234116400","136.6120738000","","1303116799","9:00~16:00","土・日・祝・年末年始","800円","",""
"81","38","福祉施設","いきがいセンター御経塚","いきがいせんたーおきょうづか","野々市市御経塚1-38","","076-248-2231","076-248-2441","","36.5429393300","136.5993939000","","1303116809","9:00~16:00　","土・日・祝・年末年始","800円","",""
"82","38","福祉施設","野々市市社会福祉協議会","ののいちししゃかいふくしきょうぎかい","野々市市本町5-18-5","","076-246-0112","076-246-0169","","36.5274711600","136.6092538000","http://nonoichi-shakyo.jp/","1303116824","8：30〜17：15　","土・日・祝・年末年始","","相談用248-8210",""
"89","38","福祉施設","野々市市地域包括支援センター（市役所内）","ののいちしちいきほうかつしえんせんたー","野々市市三納1-1","","076-227-6067","076-227-6252","","36.5194020300","136.6096641000","","1320647538","8:30~17:15
・電話相談は24時間対応","土・日・祝・年末年始","","",""
"90","38","福祉施設","野々市富樫苑地域相談センター","ののいちとがしえんちいきそうだんせんたー","野々市市中林4-62","","076-248-8474","076-248-8766","","36.5160722200","136.6000651000","","1185856061","8:30~17:15　 ","土・日・祝・年末年始","","特別養護老人ホーム富樫苑内 地域に住む高齢者の病気や介護、介護予防に関する相談を受け付けています。 【担当地域】　住吉町、白山町、中林、下林、位川、清金、太平寺、稲荷、堀内",""
"91","38","福祉施設","野々市南ケア地域相談センター","ののいちみなみけあちいきそうだんせんたー","野々市市蓮花寺町1-1","","076-294-6547","076-294-3797","","36.5305205200","136.5910752000","","1185856082","8:30~17:15　 ","土・日・祝・年末年始","","老人保健施設金沢南ケアセンター内 地域に住む高齢者の病気や介護、介護予防に関する相談を受け付けています。 【担当地域】若松町、田尻町、三日市町、二日市町、徳用町、郷町、蓮花寺町、柳町、長池町、押野、押越、野代、御経塚",""
"92","38","福祉施設","野々市かんじん地域相談センター","ののいちかんじんちいきそうだんせんたー","野々市市新庄2-45","","076-248-7770","076-248-7737","","36.4968244600","136.6102451000","","1185633108","8:30~17:15　 ","土・日・祝・年末年始","","介護老人福祉施設かんじん内 地域に住む高齢者の病気や介護、介護予防に関する相談を受け付けています。 【担当地域】菅原町、上林、新庄、粟田、藤平田、藤平、末松",""
"94","38","福祉施設","地域活動支援センターののいち","ちいきかつどうしえんせんたーののいち","野々市市中林4-120","","076-248-6565","076-248-6567","","36.5160422100","136.5993551000","http://www.tokiwahp.or.jp/","1303116967","9時〜17時　　","日曜・祝日・年末年始","","精神科へ通院される方やその家族を支援する施設です。 相談・日常生活の支援・情報提供・場の提供を行っています。月に一度喫茶店も開いていますので気軽にお立ち寄りください。",""
"95","38","福祉施設","老人福祉センター椿荘","ろうじんふくしせんたーつばきそう","野々市市矢作3-1-2","","076-246-5570","","","36.5232716500","136.6114138000","","1303116996","9:00~17:00","第1,3,5日曜・第2,4月曜・敬老の日を除く祝・8/15・年末年始","","送迎バス有り（木・土はバス・風呂休み）",""
"7439","38","福祉施設","シルバー人材センター","しるばーじんざいせんたー","野々市市白山町8-15","","076-294-8303","076-246-7067","","36.5285810800","136.6111644000","","1303117034","8:30~17:15　","土・日・祝・年末年始","","",""
"10875","38","福祉施設","野々市社協地域相談センター","ののいちしゃきょうちいきそうだんせんたー","野々市市矢作3-1-2","","076-246-5616","076-246-6271","","36.5234040000","136.6115348000","","1383210528","8:30〜17:15","土・日・祝・年末年始","","老人福祉センター椿荘内&lt;br /&gt;地域に住む高齢者の病気や介護、介護予防に関する相談を受け付けています。&lt;br /&gt;【担当地域】本町、矢作、三納、横宮町、高橋町、扇が丘",""
"10876","38","福祉施設","相談支援事業所ののいち","そうだんしえんじぎょうしょののいち","野々市市中林４−１２０","","076-248-6565","076-248-6567","","36.5160299000","136.5992526000","","1383210647","9時〜17時","日曜・祝日・年末年始","","障害のある方や家族からの相談を受け付けています。",""
"10877","38","福祉施設","相談支援事業所CoCoa","そうだんしえんじぎょうしょここあ","","","076-294-3634","076-294-3635","","36.5264520700","136.6262542000","","1383210783","10時〜18時","日曜・祝日・年末年始・盆休","","障害のある方や家族からの相談を受け付けています。",""
"10878","38","福祉施設","ライフサポートそれいゆ","らいふさぽーとそれいゆ","野々市市藤平田２−１１３−１−１０１","","076-227-8950","076-227-8951","","36.5230508100","136.6067022000","","1384839652","8時30分〜17時","日曜・祝日・年末年始・盆休","","障害のある方や家族からの相談を受け付けています。",""
"10879","38","福祉施設","福祉事務所","ふくしじむしょ","野々市市三納１丁目１","","076-227-0294","","","36.5193540900","136.6099799000","","1383210991","8:30〜17:15","土、日、祝、年末年始","","福祉総務課内",""
"10882","39","子育て支援施設","ファミリー・サポートセンター","ふぁみりー・さぽーとせんたー","野々市市菅原8-33","","076-248-4634","","","36.5285233600","136.6161248000","","1383211164","","","","子育て支援センター菅原と同じ住所。子育て相互援助組織。",""
"10883","39","子育て支援施設","ポニー・ポッシュ","ぽにー・ぽっしゅ","野々市市横宮町16-9","","076-248-7780","","","36.5339631900","136.6166747000","","1383211218","","","","病児保育施設。詳細については直接施設にお問い合わせください。",""
"98","39","子育て支援施設","子育て支援センター菅原","こそだてしえんせんたーすがはら","野々市市菅原8-33","","076-248-4634","","","36.5285111700","136.6161832000","http://kosodate.town.nonoichi.ishikawa.jp/sugahara_ho/index.html","1345186412","","","","子育て支援ひろば。一時預かり、病後児保育対応",""
"99","39","子育て支援施設","子育て支援センターはくさん","こそだてしえんせんたーはくさん","野々市市白山4-2","","076-248-4337","","","36.5262013800","136.6139735000","","1345186424","","","","子育て支援ひろば",""
"6882","39","子育て支援施設","子育て支援センターエンジェル","こそだてしえんせんたーえんじぇる","野々市市本町6-22-1","","076-248-2888","","","36.5333705127","136.6076087952","","1384829382","","","","子育て支援ひろば",""
"7438","39","子育て支援施設","子育て支援センターふじひら","こそだてしえんせんたーふじひら","野々市市藤平142","","076-246-1181","","","36.5139369500","136.6047361000","","1345186439","","","","子育て支援ひろば",""
"9816","39","子育て支援施設","子育て支援センター和光","こそだてしえんせんたーわこう","野々市市扇が丘18-13","","076-272-8405","","","36.5270175000","136.6229421000","","1345186454","","","","子育て支援ひろば。一時預かり対応",""
"9817","39","子育て支援施設","子育て支援センターアリス","こそだてしえんせんたーありす","野々市市二日市町65街区2番","","076-294-2525","","","36.5372605194","136.5938651562","","1384829435","","","","子育て支援ひろば",""
"100","41","文化・教養施設","交遊舎","こうゆうしゃ","野々市市二日市1-2","","076-294-8166","","","36.5423893800","136.5986340000","","1303117570","9:00~22:00　","第2.4水・祝日にあたる時はその翌日、年末年始","","",""
"102","41","文化・教養施設","女性センター","じょせいせんたー","野々市市稲荷4-155","","076-246-0810","076-246-6722","","36.5367700900","136.6047937000","http://www.city.nonoichi.lg.jp/syogaigakusyu/jyoseisen_2_2_2.html","1303117589","9:00~22:00　 ","毎週月・祝・年末年始","","",""
"104","41","文化・教養施設","ふるさと歴史館・埋蔵文化財収蔵庫","ふるさとれきしかんまいぞうぶんかざいしゅうぞうこ","野々市市御経塚1-182","","076-246-0133","076-294-1816","","36.5459090200","136.5997537000","","1303117635","10:00~16:00　","毎週月・祝翌日・年末年始","","",""
"105","41","文化・教養施設","郷土資料館","きょうどしりょうかん","野々市市本町3-19-24","","076-246-2672","076-246-2672","","36.5318407900","136.6149231000","","1303117648","10:00~18:00　","毎週月・祝翌日・年末年始","","",""
"106","41","文化・教養施設","文化会館（フォルテ）","ぶんかかいかんふぉるて","野々市市本町5-4-1","","076-248-8000","076-246-2391","","36.5320106500","136.6078137000","http://forte.nono1.jp/","1384752642","9:00~22:00・受付時間は9:00~17:00","第1.3水曜（祝は翌日）、年末年始 ","使用する施設・時間帯により異なります。詳しくは文化会館フォルテまでお問い合わせください。","公立文化施設&lt;br /&gt;指定管理者：（公財）野々市市情報文化振興財団&lt;br /&gt;コンサート・演劇などの自主事業やホール・会議室などの貸館業務を行っています。",""
"107","42","地域型情報交換場所","野々市市教育センター","ののいちしきょういくせんたー","野々市市本町4-21-27","","076-248-8456","076-248-1931","","36.5299409200","136.6106836000","","1303117683","8：30〜17：15","土・日・祝・年末年始　","","不登校・いじめ・その他教育上の問題全般の相談に応じます。相談のある方は事前に電話連絡願います。",""
"108","42","地域型情報交換場所","中央公民館（野々市公民館）","ちゅうおうこうみんかんののいちこみんかん","野々市市本町2-1-20","","076-248-0521","076-248-3649","","36.5326485200","136.6184986000","http://www.city.nonoichi.lg.jp/syogaigakusyu/tyuoukouminkan.html","1383214016","9:00~22:00　","毎週月・祝・年末年始","","",""
"110","42","地域型情報交換場所","郷公民館","ごうこうみんかん","野々市市田尻町94","","076-248-0250","076-248-0250","","36.5319904500","136.5960247000","http://www.city.nonoichi.lg.jp/syogaigakusyu/goukouminkan_2.html","1303117715","9:00~22:00　","毎週月・祝・年末年始","","",""
"111","42","地域型情報交換場所","押野公民館","おしのこうみんかん","野々市市押野3-70","","076-248-2839","076-248-2839","","36.5408198600","136.6164026000","http://www.city.nonoichi.lg.jp/syogaigakusyu/osinokouminkan_2_2.html","1303117726","9:00~22:00　","毎週月・祝・年末年始","","",""
"112","42","地域型情報交換場所","情報交流館（カメリア）","じょうほうこうりゅうかんかめりあ","石川県野々市市三納1丁目1番地","","076-227-6200","076-227-6205","","36.5193420400","136.6096741000","http://camellia.nono1.jp/","1320647475","9:00~22:00　","毎月第2・4水、8/13〜8/17、年末年始","","",""
"114","43","図書館","市立図書館","しりつとしょかん","野々市市本町2-14-6","","076-248-8099","076-248-8175","","36.5323308000","136.6184028000","http://www.city.nonoichi.lg.jp/library/top.html","1320646624","10：00~19：00
・土、日は17：00まで　","毎週月・祝・年末年始　","","",""
"115","44","スポーツ施設","市民体育館","しみんたいいくかん","野々市市下林3-97","","076-248-1223","076-248-1254","","36.5257411800","136.5995247000","","1303117834","月13:00~22:00
火~土9:00~22:00
日・祝9:00~18:00","毎週月9:00〜13:00
年末年始","http://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=13","バスケットボール・卓球・バドミントンほか",""
"116","44","スポーツ施設","スポーツランド","すぽーつらんど","野々市市中林5-1-1","","076-294-5800","076-294-5801","","36.5125127000","136.6060148000","","1383445052","●プール　月~土10:00~21:00日・祝10:00~17:00●テニスコート月~土日の出~21:00日・祝日の出~日没※夜間照明は4月から10月まで●さわやかホール月~土9:00~21:00日・祝9:00~17:00","毎週火・年末年始","●プールhttp://www.city.nonoichi.lg.jp/sportsshinko/supo-turanndopu-ru.html●テニスコートhttp://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=8●さわやかホールhttp://www.city.nonoichi.lg.jp/sportsshinko/supo-turanndosawayakaho-ru.html","プール・テニスコート・ゲートボール場",""
"117","44","スポーツ施設","スポーツセンター","すぽーつせんたー","野々市市押野2-30","","076-294-5511","076-294-5811","","36.5407397900","136.6121729000","","1383445039","月・水~土9:00~22:00火13:00~22:00日・祝9:00~18:00","毎週火9:00〜13:00年末年始","http://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=14","バスケットボール・卓球・バドミントンほか",""
